Time	sourceID	routerID	destinyID	packetID	txPower	RSSI
28-02-2020 03:17:46.675410	2	0	1	4	8	-31
28-02-2020 03:17:46.676374	2	0	1	4	5	-35
28-02-2020 03:17:46.676948	3	0	1	8	8	-47
28-02-2020 03:17:46.677839	3	0	1	8	5	-48
28-02-2020 03:17:46.678252	3	2	1	8	14	-18
28-02-2020 03:17:46.678800	3	2	1	8	11	-18
28-02-2020 03:17:46.679208	3	2	1	8	8	-19
28-02-2020 03:17:46.679733	3	2	1	8	5	-21
28-02-2020 03:17:46.680182	2	0	1	4	14	-24
28-02-2020 03:17:46.681060	3	2	1	8	14	-18
28-02-2020 03:17:46.681634	3	2	1	8	11	-18
28-02-2020 03:17:46.682049	3	2	1	8	8	-19
28-02-2020 03:18:46.057183	2	0	1	5	8	-30
28-02-2020 03:18:46.058009	2	0	1	5	5	-34
28-02-2020 03:18:46.058532	3	0	1	9	8	-46
28-02-2020 03:18:46.058993	3	0	1	9	5	-48
28-02-2020 03:18:46.059559	3	2	1	9	14	-18
28-02-2020 03:18:46.060012	3	2	1	9	11	-18
28-02-2020 03:18:46.060684	3	2	1	9	8	-19
28-02-2020 03:18:46.061157	3	2	1	9	5	-21
28-02-2020 03:18:46.061643	2	0	1	5	14	-24
28-02-2020 03:18:46.062157	3	2	1	9	14	-18
28-02-2020 03:18:46.062643	3	2	1	9	11	-18
28-02-2020 03:18:46.063121	3	2	1	9	8	-19
28-02-2020 03:19:45.245874	2	0	1	6	8	-34
28-02-2020 03:19:45.246621	2	0	1	6	5	-38
28-02-2020 03:19:45.247106	3	0	1	10	8	-43
28-02-2020 03:19:45.247606	3	0	1	10	5	-46
28-02-2020 03:19:45.248131	3	2	1	10	14	-18
28-02-2020 03:19:45.248623	3	2	1	10	11	-18
28-02-2020 03:19:45.249055	3	2	1	10	8	-20
28-02-2020 03:19:45.249660	3	2	1	10	5	-22
28-02-2020 03:19:45.250062	2	0	1	6	14	-28
28-02-2020 03:19:45.250859	3	2	1	10	14	-18
28-02-2020 03:19:45.251268	3	2	1	10	11	-18
28-02-2020 03:19:45.251826	3	2	1	10	8	-20
28-02-2020 03:20:44.399988	2	0	1	7	8	-16
28-02-2020 03:20:44.401296	2	0	1	7	5	-17
28-02-2020 03:20:44.401917	3	0	1	11	8	-27
28-02-2020 03:20:44.402521	3	0	1	11	5	-30
28-02-2020 03:20:44.403276	3	2	1	11	14	-23
28-02-2020 03:20:44.403902	3	2	1	11	11	-24
28-02-2020 03:20:44.404305	3	2	1	11	8	-25
28-02-2020 03:20:44.404891	3	2	1	11	5	-27
28-02-2020 03:20:44.405722	2	0	1	7	14	-15
28-02-2020 03:20:44.406289	3	2	1	11	14	-23
28-02-2020 03:20:44.406782	3	2	1	11	11	-24
28-02-2020 03:20:44.407301	3	2	1	11	8	-25
28-02-2020 03:21:43.590127	2	0	1	8	8	-16
28-02-2020 03:21:43.591169	2	0	1	8	5	-18
28-02-2020 03:21:43.591696	3	0	1	12	8	-30
28-02-2020 03:21:43.592129	3	0	1	12	5	-31
28-02-2020 03:21:43.592712	3	2	1	12	14	-22
28-02-2020 03:21:43.593117	3	2	1	12	11	-24
28-02-2020 03:21:43.593675	3	2	1	12	8	-25
28-02-2020 03:21:43.594087	3	2	1	12	5	-27
28-02-2020 03:21:43.594530	2	0	1	8	14	-14
28-02-2020 03:21:43.595059	3	2	1	12	14	-22
28-02-2020 03:21:43.595504	3	2	1	12	11	-24
28-02-2020 03:21:43.596020	3	2	1	12	8	-25
28-02-2020 03:22:42.806211	2	0	1	9	8	-27
28-02-2020 03:22:42.806999	2	0	1	9	5	-31
28-02-2020 03:22:42.807523	3	0	1	13	8	-30
28-02-2020 03:22:42.807975	3	0	1	13	5	-32
28-02-2020 03:22:42.808534	3	2	1	13	14	-22
28-02-2020 03:22:42.808990	3	2	1	13	11	-24
28-02-2020 03:22:42.809418	3	2	1	13	8	-25
28-02-2020 03:22:42.809966	3	2	1	13	5	-27
28-02-2020 03:22:42.810653	2	0	1	9	14	-20
28-02-2020 03:22:42.811182	3	2	1	13	14	-22
28-02-2020 03:22:42.811672	3	2	1	13	11	-24
28-02-2020 03:22:42.812198	3	2	1	13	8	-25
28-02-2020 03:23:41.987018	2	0	1	10	8	-26
28-02-2020 03:23:41.987770	2	0	1	10	5	-30
28-02-2020 03:23:41.988294	3	0	1	14	8	-39
28-02-2020 03:23:41.988792	3	0	1	14	5	-43
28-02-2020 03:23:41.989309	3	2	1	14	14	-21
28-02-2020 03:23:41.989812	3	2	1	14	11	-24
28-02-2020 03:23:41.990247	3	2	1	14	8	-27
28-02-2020 03:23:41.991015	3	2	1	14	5	-30
28-02-2020 03:23:41.991418	2	0	1	10	14	-21
28-02-2020 03:23:41.991988	3	2	1	14	14	-21
28-02-2020 03:23:41.992391	3	2	1	14	11	-24
28-02-2020 03:23:41.992992	3	2	1	14	8	-27
28-02-2020 03:24:41.178234	2	0	1	11	8	-50
28-02-2020 03:24:41.179029	2	0	1	11	5	-53
28-02-2020 03:24:41.179555	3	0	1	15	8	-60
28-02-2020 03:24:41.180016	3	0	1	15	5	-64
28-02-2020 03:24:41.180809	3	2	1	15	14	-21
28-02-2020 03:24:41.181232	3	2	1	15	11	-23
28-02-2020 03:24:41.181783	3	2	1	15	8	-25
28-02-2020 03:24:41.182191	3	2	1	15	5	-29
28-02-2020 03:24:41.182680	2	0	1	11	14	-47
28-02-2020 03:24:41.183169	3	2	1	15	14	-21
28-02-2020 03:24:41.183650	3	2	1	15	11	-23
28-02-2020 03:24:41.184163	3	2	1	15	8	-25
28-02-2020 03:25:40.417912	2	0	1	12	8	-45
28-02-2020 03:25:40.418663	2	0	1	12	5	-48
28-02-2020 03:25:40.419139	3	0	1	16	8	-46
28-02-2020 03:25:40.419632	3	0	1	16	5	-48
28-02-2020 03:25:40.420153	3	2	1	16	14	-21
28-02-2020 03:25:40.420857	3	2	1	16	11	-22
28-02-2020 03:25:40.421390	3	2	1	16	8	-24
28-02-2020 03:25:40.421906	3	2	1	16	5	-26
28-02-2020 03:25:40.422375	2	0	1	12	14	-39
28-02-2020 03:25:40.422895	3	2	1	16	14	-21
28-02-2020 03:25:40.423294	3	2	1	16	11	-22
28-02-2020 03:25:40.423848	3	2	1	16	8	-24
28-02-2020 03:26:39.632331	2	0	1	13	8	-64
28-02-2020 03:26:39.633136	2	0	1	13	5	-68
28-02-2020 03:26:39.633722	3	0	1	17	8	-44
28-02-2020 03:26:39.634127	3	0	1	17	5	-47
28-02-2020 03:26:39.634714	3	2	1	17	14	-34
28-02-2020 03:26:39.635124	3	2	1	17	11	-35
28-02-2020 03:26:39.635626	3	2	1	17	8	-37
28-02-2020 03:26:39.636086	3	2	1	17	5	-41
28-02-2020 03:26:39.636527	2	0	1	13	14	-60
28-02-2020 03:26:39.637084	3	2	1	17	14	-34
28-02-2020 03:26:39.637533	3	2	1	17	11	-35
28-02-2020 03:26:39.638004	3	2	1	17	8	-37
28-02-2020 03:27:38.808880	2	0	1	14	8	-50
28-02-2020 03:27:38.809629	2	0	1	14	5	-54
28-02-2020 03:27:38.810103	3	0	1	18	8	-59
28-02-2020 03:27:38.811005	3	0	1	18	5	-62
28-02-2020 03:27:38.811420	3	2	1	18	14	-20
28-02-2020 03:27:38.811921	3	2	1	18	11	-21
28-02-2020 03:27:38.812492	3	2	1	18	8	-24
28-02-2020 03:27:38.812946	3	2	1	18	5	-27
28-02-2020 03:27:38.813412	2	0	1	14	14	-44
28-02-2020 03:27:38.813930	3	2	1	18	14	-20
28-02-2020 03:27:38.814328	3	2	1	18	11	-21
28-02-2020 03:27:38.814877	3	2	1	18	8	-24
28-02-2020 03:28:37.992898	3	2	1	19	14	-20
28-02-2020 03:28:37.993660	3	2	1	19	11	-21
28-02-2020 03:28:37.994134	3	2	1	19	8	-24
28-02-2020 03:28:37.994632	3	2	1	19	5	-27
28-02-2020 03:28:37.995151	2	0	1	15	14	-76
28-02-2020 03:28:37.995638	3	2	1	19	14	-20
28-02-2020 03:28:37.996119	3	2	1	19	11	-21
28-02-2020 03:28:37.996657	3	2	1	19	8	-24
28-02-2020 03:28:37.997059	3	2	1	19	5	-27
28-02-2020 03:28:37.997640	2	0	1	15	11	-78
28-02-2020 03:32:34.734915	2	0	1	19	8	-87
28-02-2020 03:32:34.735654	3	2	1	23	11	-57
28-02-2020 03:32:34.736130	3	2	1	23	8	-58
28-02-2020 03:32:34.736621	3	2	1	23	5	-60
28-02-2020 03:32:34.737142	2	0	1	19	14	-79
28-02-2020 03:32:34.737661	3	2	1	23	14	-55
28-02-2020 03:32:34.738137	3	2	1	23	11	-57
28-02-2020 03:32:34.738677	3	2	1	23	8	-58
28-02-2020 03:32:34.739082	3	2	1	23	5	-60
28-02-2020 03:33:33.921232	2	0	1	20	8	-86
28-02-2020 03:33:33.922742	3	2	1	24	11	-61
28-02-2020 03:33:33.923250	3	2	1	24	8	-61
28-02-2020 03:33:33.923801	3	2	1	24	5	-64
28-02-2020 03:33:33.924206	2	0	1	20	14	-81
28-02-2020 03:33:33.924751	3	2	1	24	14	-62
28-02-2020 03:33:33.925153	3	2	1	24	11	-61
28-02-2020 03:33:33.925637	3	2	1	24	8	-61
28-02-2020 03:33:33.926131	3	2	1	24	5	-64
28-02-2020 03:35:32.282888	3	2	1	26	14	-35
28-02-2020 03:35:32.283629	3	2	1	26	11	-36
28-02-2020 03:35:32.284108	3	2	1	26	8	-38
28-02-2020 03:35:32.284605	3	2	1	26	5	-40
28-02-2020 03:35:32.285130	2	0	1	22	14	-81
28-02-2020 03:35:32.285620	3	2	1	26	14	-35
28-02-2020 03:35:32.286052	3	2	1	26	11	-36
28-02-2020 03:35:32.286629	3	2	1	26	8	-38
28-02-2020 03:35:32.287038	3	2	1	26	5	-40
28-02-2020 03:35:32.287616	2	0	1	22	11	-81
28-02-2020 03:37:30.606865	2	0	1	24	14	-78
28-02-2020 03:37:30.607540	2	0	1	24	11	-78
28-02-2020 03:37:30.608083	2	0	1	24	8	-83
28-02-2020 03:38:29.778245	2	0	1	25	14	-81
28-02-2020 03:38:29.779026	2	0	1	25	11	-82
28-02-2020 03:38:29.779545	2	0	1	25	8	-85
28-02-2020 03:39:28.947528	2	0	1	26	14	-81
28-02-2020 03:39:28.948274	2	0	1	26	11	-82
28-02-2020 03:40:28.146675	3	2	1	31	14	-82
28-02-2020 03:40:28.147380	2	0	1	27	14	-81
28-02-2020 03:41:27.362432	3	2	1	32	11	-79
28-02-2020 03:41:27.363238	3	2	1	32	8	-80
28-02-2020 03:41:27.363804	3	2	1	32	5	-81
28-02-2020 03:41:27.364212	2	0	1	28	14	-81
28-02-2020 03:42:26.569894	3	2	1	33	14	-76
28-02-2020 03:42:26.570864	3	2	1	33	11	-78
28-02-2020 03:42:26.571301	3	2	1	33	8	-79
28-02-2020 03:42:26.571871	2	0	1	29	14	-81
28-02-2020 03:43:25.736116	3	2	1	34	14	-74
28-02-2020 03:43:25.736866	3	2	1	34	11	-76
28-02-2020 03:43:25.737385	3	2	1	34	5	-81
28-02-2020 03:43:25.737912	2	0	1	30	14	-78
28-02-2020 03:47:22.510922	3	2	1	38	14	-75
28-02-2020 03:47:22.518699	3	2	1	38	11	-76
28-02-2020 03:47:22.519209	3	2	1	38	8	-78
28-02-2020 03:47:22.519625	2	0	1	34	14	-77
28-02-2020 03:48:21.674790	3	2	1	39	14	-73
28-02-2020 03:48:21.675410	3	2	1	39	11	-75
28-02-2020 03:48:21.675860	2	0	1	35	14	-78
28-02-2020 03:48:21.676255	3	2	1	39	14	-73
